Year,Month,Day,SetNum,TrapNum,TrapUsability,HoursSoak,GeogLoc,startLAT,startLONG,Species,Sex,WidthType,WidthSpine,WidthNotch,TagNum,Recap,Notes
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,57,137,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,53,138,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,56,139,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,65,140,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,45,141,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,54,142,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,35,143,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,45,144,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,45,145,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,57,146,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,49,147,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,49,148,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,37,149,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,40,150,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,63,151,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,54,152,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,37,153,0,
2024,7,16,2,1,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,43,154,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,56,155,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,58,156,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,60,157,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,56,158,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,63,159,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,55,160,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,60,161,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,60,162,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,62,163,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,55,164,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,37,165,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,52,166,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,36,167,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,50,168,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,3,N,,53,169,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,48,170,0,
2024,7,16,2,2,0,23,ROCHE,48.37022,-123.6245,XMB,1,N,,60,171,0,
